outsourcing_group,income_group,Ethnicity_labelled,n,Frequency,N,Sum,Percentage,Ethnicity_short
Not outsourced,Not low,English / Welsh / Scottish / Northern Irish / British,4179,4020.7965160377407,5280,5120.091653802492,78.52977618187073,English / Welsh / Scottish / Northern Irish / British
Not outsourced,Not low,Irish,62,49.875362124215506,5280,5120.091653802492,0.9741107288025797,Irish
Not outsourced,Not low,Gypsy or Irish Traveller,4,6.651422517839223,5280,5120.091653802492,0.1299082705462796,Gypsy or Irish Traveller
Not outsourced,Not low,Roma,4,5.236993918025174,5280,5120.091653802492,0.10228320647611577,Roma
Not outsourced,Not low,Any other White background,246,247.97082125174268,5280,5120.091653802492,4.843093405712462,Any other White background
Not outsourced,Not low,White and Black Caribbean,38,27.03480624590393,5280,5120.091653802492,0.5280141074393899,White and Black Caribbean
Not outsourced,Not low,White and Black African,26,13.414623814012367,5280,5120.091653802492,0.2619996812762102,White and Black African
Not outsourced,Not low,White and Asian,41,21.629764173454422,5280,5120.091653802492,0.42244876920105207,White and Asian
Not outsourced,Not low,Any other Mixed / Multiple ethnic background,37,20.582406528358813,5280,5120.091653802492,0.40199293137795816,Any other Mixed / Multiple ethnic background
Not outsourced,Not low,Indian,111,160.85055421163415,5280,5120.091653802492,3.14155614953058,Indian
Not outsourced,Not low,Pakistani,61,58.12308325996024,5280,5120.091653802492,1.1351961486235211,Pakistani
Not outsourced,Not low,Bangladeshi,25,25.62734836656902,5280,5120.091653802492,0.5005251878164444,Bangladeshi
Not outsourced,Not low,Chinese,50,91.20796941056763,5280,5120.091653802492,1.7813737639409448,Chinese
Not outsourced,Not low,Any other Asian background,33,71.67302020546958,5280,5120.091653802492,1.399838617190394,Any other Asian background
Not outsourced,Not low,African,154,100.73577117730457,5280,5120.091653802492,1.967460311037441,African
Not outsourced,Not low,Caribbean,47,36.00549324057827,5280,5120.091653802492,0.7032197014254304,Caribbean
Not outsourced,Not low,"Any other Black, Black British, or Caribbean background",20,12.193096025197763,5280,5120.091653802492,0.23814214372788475,"Any other Black, Black British, or Caribbean background"
Not outsourced,Not low,Arab,9,13.75719323722442,5280,5120.091653802492,0.26869037055239997,Arab
Not outsourced,Not low,Any other ethnic group,11,20.095049129664204,5280,5120.091653802492,0.3924744025771569,Any other ethnic group
Not outsourced,Not low,Don’t think of myself as any of these,4,3.0282096461708754,5280,5120.091653802492,0.0591436609132171,Don’t think of myself as any of these
Not outsourced,Not low,Prefer not to say,13,11.51021102747157,5280,5120.091653802492,0.2248047848698838,Prefer not to say
Not outsourced,Not low,NA,105,102.09193825338699,5280,5120.091653802492,1.993947475091921,NA
Not outsourced,Low,English / Welsh / Scottish / Northern Irish / British,1300,1433.6456180029384,1644,1788.0524687427219,80.17916940720501,English / Welsh / Scottish / Northern Irish / British
Not outsourced,Low,Irish,23,24.74367380275412,1644,1788.0524687427219,1.3838337652447503,Irish
Not outsourced,Low,Gypsy or Irish Traveller,1,0.6331886360119569,1644,1788.0524687427219,0.03541219550772951,Gypsy or Irish Traveller
Not outsourced,Low,Any other White background,71,80.76355904461,1644,1788.0524687427219,4.5168450286808035,Any other White background
Not outsourced,Low,White and Black Caribbean,20,11.198049857795365,1644,1788.0524687427219,0.6262707640603706,White and Black Caribbean
Not outsourced,Low,White and Black African,5,3.1017575970334,1644,1788.0524687427219,0.17347128516952395,White and Black African
Not outsourced,Low,White and Asian,11,6.506929865895537,1644,1788.0524687427219,0.3639115730463389,White and Asian
